Release.Date,Movie,Production.Budget,Domestic.Gross,Worldwide.Gross,Rate,Raters,Genres,imdbUrl,Directed.by,Produced.by,Written.by,Starring,Music.by,Cinematography,Edited.by,Production.company,Distributed.by,Release.date,Running.time,Country,Language,Budget,Box.office,wikiUrl,image,Screenplay.by,Story.by,Based.on,Production.companies
9/26/2008,Eagle Eye,"$80,000,000","$101,440,743","$178,066,569",6.6,"158,859",Action Mystery Thriller,http://www.imdb.com/title/tt1059786/,D. J. Caruso,"Alex Kurtzman
Roberto Orci
Pat Crowley",NA,"Shia LaBeouf
Michelle Monaghan
Rosario Dawson
Michael Chiklis
Anthony Mackie
Billy Bob Thornton",Brian Tyler,Dariusz Wolski,Jim Page,"K/O Paper Products
Goldrest Pictures","DreamWorks Pictures
Paramount Pictures","September 16, 2008 (2008-09-16) (Hollywood)
September 26, 2008 (2008-09-26) (United States)",118 minutes,United States,English,$80 million[1],$178.1 million[1],https://en.wikipedia.org/wiki/Eagle_Eye,//upload.wikimedia.org/wikipedia/en/thumb/1/15/Eagle_eye_poster.jpg/220px-Eagle_eye_poster.jpg,"John Glenn
Travis Adam Wright
Hillary Seitz
Dan McDermott",Dan McDermott,NA,NA
6/6/2014,Edge of Tomorrow,"$178,000,000","$100,206,256","$370,541,256",7.9,"490,166",Action Adventure Sci-Fi,http://www.imdb.com/title/tt1631867/,Doug Liman,"Erwin Stoff
Tom Lassally
Jeffrey Silver
Gregory Jacobs
Jason Hoffs",NA,"Tom Cruise
Emily Blunt
Bill Paxton
Brendan Gleeson",Christophe Beck,Dion Beebe,"James Herbert
Laura Jennings",NA,Warner Bros. Pictures,"May 28, 2014 (2014-05-28) (London IMAX)
June 6, 2014 (2014-06-06) (United States)",113 minutes[1],United States[2],English,$178 million[3],$370.5 million[3],https://en.wikipedia.org/wiki/Edge_of_Tomorrow_%28film%29,//upload.wikimedia.org/wikipedia/en/f/f9/Edge_of_Tomorrow_Poster.jpg,"Christopher McQuarrie
Jez Butterworth
John-Henry Butterworth",NA,"All You Need Is Kill
by Hiroshi Sakurazaka","Village Roadshow Pictures
RatPac-Dune Entertainment
3 Arts Entertainment
Viz Productions"
8/9/2013,Elysium,"$120,000,000","$93,050,117","$286,192,091",6.6,"368,487",Action Drama Sci-Fi Thriller,http://www.imdb.com/title/tt1535108/,Neill Blomkamp,"Bill Block
Neill Blomkamp
Simon Kinberg",Neill Blomkamp,"Matt Damon
Jodie Foster
Sharlto Copley
Alice Braga
Diego Luna
Wagner Moura
William Fichtner",Ryan Amon,Trent Opaloch,"Julian Clarke
Lee Smith",NA,TriStar Pictures,"August 7, 2013 (2013-08-07) (Taiwan)
August 9, 2013 (2013-08-09) (United States)",109 minutes[1],United States[2],"English
French
Spanish",$115 million[3],$286.1 million[3],https://en.wikipedia.org/wiki/Elysium_(film),//upload.wikimedia.org/wikipedia/en/thumb/f/f9/Elysium_Poster.jpg/220px-Elysium_Poster.jpg,NA,NA,NA,"Media Rights Capital
QED International
Alphacore
Kinberg Genre"
11/21/2007,Enchanted,"$85,000,000","$127,706,877","$340,384,141",7.1,"153,665",Animation Comedy Family Fantasy Musical Romance,http://www.imdb.com/title/tt0461770/,Kevin Lima,"Barry Josephson
Barry Sonnenfeld",Bill Kelly,"Amy Adams
Patrick Dempsey
James Marsden
Timothy Spall
Idina Menzel
Susan Sarandon",Alan Menken,Don Burgess,"Gregory Perler
Stephen A. Rotter",NA,"Walt Disney Studios
Motion Pictures","October 20, 2007 (2007-10-20) (London)
November 21, 2007 (2007-11-21)",107 minutes[1],United States,English,$85 million[2],$340.5 million[3],https://en.wikipedia.org/wiki/Enchanted_(film),NA,NA,NA,NA,"Walt Disney Pictures
Sonnenfeld Josephson Entertainment"
11/24/1999,End of Days,"$100,000,000","$66,889,043","$212,026,975",5.7,"94,512",Action Fantasy Horror Thriller,http://www.imdb.com/title/tt0146675/,Peter Hyams,"Armyan Bernstein
Bill BordenThomas Bliss",Andrew W. Marlowe,"Arnold Schwarzenegger
Gabriel Byrne
Kevin Pollak
Robin Tunney
Rod Steiger",John Debney,Peter Hyams,Steven Kemper,Beacon Pictures,Universal Pictures (US)Buena Vista International (non-US),"November 16, 1999 (Premiere)
November 24, 1999 (Theatrical)",123 minutes,United States,English,$100 million[1],$212 million[1],https://en.wikipedia.org/wiki/End_of_Days_(1999_film),//upload.wikimedia.org/wikipedia/en/thumb/7/73/End_of_days_ver5.jpg/220px-End_of_days_ver5.jpg,NA,NA,NA,NA
11/1/2013,Ender's Game,"$110,000,000","$61,737,191","$127,983,283",6.7,"198,377",Action Fantasy Sci-Fi,http://www.imdb.com/title/tt1731141/,Gavin Hood,"Gigi Pritzker
Linda McDonough
Alex Kurtzman
Roberto Orci
Robert Chartoff
Lynn Hendee
Orson Scott Card
Ed Ulbrich",NA,"Harrison Ford
Asa Butterfield
Hailee Steinfeld
Viola Davis
Abigail Breslin
Ben Kingsley",Steve Jablonsky,Donald McAlpine,Zach StaenbergLee Smith,"Chartoff Productions
Taleswapper
Odd Lot Entertainment
K/O Paper Products
Digital Domain",Summit EntertainmentLionsgate Films,"October 24, 2013 (2013-10-24) (Germany)
November 1, 2013 (2013-11-01) (United States)",114 minutes[1],United States,English,$110–115 million[2][3],$125.5 million[4],https://en.wikipedia.org/wiki/Ender%27s_Game_(film),//upload.wikimedia.org/wikipedia/en/thumb/8/8c/Ender%27s_Game_poster.jpg/220px-Ender%27s_Game_poster.jpg,Gavin Hood,NA,"Ender's Game
by Orson Scott Card",NA
3/16/2001,Enemy at the Gates,"$85,000,000","$51,396,781","$96,971,293",7.6,"206,445",Drama History War,http://www.imdb.com/title/tt0215750/,Jean-Jacques Annaud,"Jean-Jacques Annaud
John D. Schofield",Jean-Jacques AnnaudAlain Godard,Joseph FiennesJude LawRachel WeiszBob HoskinsEd HarrisRon Perlman,James Horner,Robert Fraisse,Noëlle BoissonHumphrey Dixon,"Mandalay Pictures
Repérage Films[1]",Paramount Pictures,"March 16, 2001 (2001-03-16)",131 minutes,"United States
France
Germany[2]","English
German
Russian",$68 million[3],$97 million[3],https://en.wikipedia.org/wiki/Enemy_at_the_Gates,//upload.wikimedia.org/wikipedia/en/thumb/a/ab/Enemy_at_the_gates_ver2.jpg/220px-Enemy_at_the_gates_ver2.jpg,NA,NA,"Enemy at the Gates: The Battle for Stalingrad
by William Craig",NA
11/20/1998,Enemy of the State,"$85,000,000","$111,549,836","$250,649,836",7.3,"200,548",Action Crime Mystery Thriller,http://www.imdb.com/title/tt0120660/,Tony Scott,Jerry Bruckheimer,David Marconi,"Will Smith
Gene Hackman
Jon Voight
Regina King
Loren Dean
Jake Busey
Barry Pepper
Gabriel Byrne",Harry Gregson-Williams[1]Trevor Rabin,Dan Mindel,Chris Lebenzon,"Touchstone Pictures
Jerry Bruckheimer Films
Scott Free Productions",Buena Vista Pictures Distribution,"November 20, 1998 (1998-11-20)",132 minutes,United States,English,$90 million[2],$250.6 million[2],https://en.wikipedia.org/wiki/Enemy_of_the_State_(film),//upload.wikimedia.org/wikipedia/en/thumb/b/b2/Enemy_of_the_State_%28film%29_poster_art.jpg/220px-Enemy_of_the_State_%28film%29_poster_art.jpg,NA,NA,NA,NA
5/24/2013,Epic,"$100,000,000","$107,518,682","$262,794,441",6.7,"90,739",Animation Adventure Family Fantasy,http://www.imdb.com/title/tt0848537/,Chris Wedge,"Lori Forte
Jerry Davis",NA,"Colin Farrell
Josh Hutcherson
Amanda Seyfried
Christoph Waltz
Aziz Ansari
Chris O'Dowd
Pitbull
Jason Sudeikis
Steven Tyler
Beyoncé Knowles",Danny Elfman,Renato Falcão,Andy Keir,"Blue Sky Studios
20th Century Fox Animation",20th Century Fox,"May 24, 2013 (2013-05-24)",102 minutes[1],United States,English,$93 million[2][3],$268.4 million[4],https://en.wikipedia.org/wiki/Epic_(2013_film),//upload.wikimedia.org/wikipedia/en/thumb/b/be/Epic_%282013_film%29_poster.jpg/220px-Epic_%282013_film%29_poster.jpg,"William Joyce
James V. Hart
Daniel Shere
Tom J. Astle
Matt Ember","William Joyce
James V. Hart
Chris Wedge","The Leaf Men and the Brave Good Bugs
by William Joyce",NA
12/15/2006,Eragon,"$100,000,000","$75,030,163","$249,488,115",5.1,"112,626",Action Adventure Family Fantasy,http://www.imdb.com/title/tt0449010/,Stefen Fangmeier,"John Davis
Adam Goodman
Gil Netter",NA,"Ed Speleers
Jeremy Irons
Sienna Guillory
Robert Carlyle
Djimon Hounsou
Garrett Hedlund
Joss Stone
Rachel Weisz
John Malkovich",Patrick Doyle,Hugh Johnson,"Roger Barton
Masahiro Hirakubo
Chris Lebenzon",Davis Entertainment,20th Century Fox,"December 15, 2006 (2006-12-15)",103 minutes,"United States
United Kingdom",English,$100 million[1],$249.5 million[1],https://en.wikipedia.org/wiki/Eragon_(film),//upload.wikimedia.org/wikipedia/en/thumb/3/32/Eragon_Teaser_Poster_10.jpg/220px-Eragon_Teaser_Poster_10.jpg,Peter Buchman,NA,"Eragon
by Christopher Paolini",NA
6/21/1996,Eraser,"$100,000,000","$101,295,562","$234,400,000",6.1,"90,349",Action Drama Mystery Thriller,http://www.imdb.com/title/tt0116213/,Chuck Russell,Anne KopelsonArnold Kopelson,NA,"Arnold Schwarzenegger
James Caan
Vanessa Williams
James Coburn
Robert Pastorelli",Alan Silvestri,Adam Greenberg,Michael Tronick,Kopelson Entertainment,Warner Bros. Pictures,"June 21, 1996 (1996-06-21)",114 minutes,United States,English,$100 million[5],$242.3 million[5],https://en.wikipedia.org/wiki/Eraser_(film),//upload.wikimedia.org/wikipedia/en/thumb/2/2c/Eraser_%28movie_poster%29.jpg/220px-Eraser_%28movie_poster%29.jpg,"Tony Puryear
Walon Green
Uncredited:
John Milius[1][2][3]
Frank Darabont
William Wisher Jr.[4]","Tony Puryear
Walon Green
Michael S. Chernuchin",NA,NA
6/22/2007,Evan Almighty,"$175,000,000","$100,289,690","$174,131,329",5.4,"121,895",Comedy Family Fantasy,http://www.imdb.com/title/tt0413099/,Tom Shadyac,"Tom Shadyac
Tom Hanks
Gary Barber
Roger Birnbaum
Neal H. Moritz
Michael Bostick",NA,"Steve Carell
Morgan Freeman
Lauren Graham
John Goodman
Wanda Sykes
John Michael Higgins
Jonah Hill
Molly Shannon",John Debney,Ian Baker,Scott Hill,"Spyglass Entertainment
Relativity Media
Shady Acres Entertainment
Original Film",Universal Pictures,"June 22, 2007 (2007-06-22)",96 minutes,United States,English,$175 million,$173.4 million,https://en.wikipedia.org/wiki/Evan_Almighty,//upload.wikimedia.org/wikipedia/en/thumb/1/14/Evan_almightymp1.jpg/220px-Evan_almightymp1.jpg,Steve Oedekerk,"Steve Oedekerk
Joel Cohen
Alec Sokolow","Characters
by Steve KorenMark O'Keefe",NA
6/8/2001,Evolution,"$80,000,000","$38,311,134","$98,341,932",6.1,"107,014",Comedy Sci-Fi,http://www.imdb.com/title/tt0251075/,Ivan Reitman,"Daniel GoldbergJoe Medjuck
Ivan Reitman",NA,David DuchovnyOrlando JonesSeann William ScottJulianne Moore,John Powell,Michael Chapman,Wendy Greene BricmontSheldon Kahn,The Montecito Picture Company,DreamWorks Pictures(North America)Columbia Pictures(International),"June 8, 2001 (2001-06-08)",101 minutes,United States,English,$80 million,$98.4 million,https://en.wikipedia.org/wiki/Evolution_(2001_film),//upload.wikimedia.org/wikipedia/en/thumb/2/2f/Evolution_movie.jpg/220px-Evolution_movie.jpg,"David DiamondDavid Weissman
Don Jakoby",Don Jakoby,NA,NA
12/12/2014,Exodus: Gods and Kings,"$140,000,000","$65,014,513","$268,314,513",6.0,"140,851",Action Adventure Drama Fantasy,http://www.imdb.com/title/tt1528100/,Ridley Scott,"Peter Chernin
Ridley Scott
Jenno Topping
Michael Schaefer
Mark Huffam","Adam Cooper
Bill Collage
Jeffrey Caine
Steven Zaillian","Christian Bale
Joel Edgerton
John Turturro
Aaron Paul
Ben Mendelsohn
Sigourney Weaver
Ben Kingsley
Golshifteh Farahani",Alberto Iglesias,Dariusz Wolski,Billy Rich,NA,20th Century Fox,"December 12, 2014 (2014-12-12) (United States)",150 minutes[1],"United States
United Kingdom
Spain[2]",English,$140 million[3],$268.2 million[4],https://en.wikipedia.org/wiki/Exodus:_Gods_and_Kings,//upload.wikimedia.org/wikipedia/en/thumb/c/cd/Exodus2014Poster.jpg/220px-Exodus2014Poster.jpg,NA,NA,NA,"Chernin Entertainment
Scott Free Productions
Babieka
Volcano Films
TSG Entertainment"
8/20/2004,Exorcist: The Beginning,"$78,000,000","$41,814,863","$43,957,541",5.1,"30,015",Horror Mystery Thriller,http://www.imdb.com/title/tt0204313/,Renny Harlin,James G. Robinson,NA,"Stellan Skarsgård
Izabella Scorupco
James D'Arcy",Trevor Rabin,Vittorio Storaro,"Mark Goldblatt
Todd E. Miller",Morgan Creek Productions,Warner Bros.,"August 20, 2004 (2004-08-20)",114 minutes[1],United States,English,$50 million,$78 million,https://en.wikipedia.org/wiki/Exorcist:_The_Beginning,//upload.wikimedia.org/wikipedia/en/thumb/8/81/Exorcist_the_Beginning_movie.jpg/220px-Exorcist_the_Beginning_movie.jpg,Alexi Hawley,"William Wisher Jr.
Caleb Carr","Characters
by William Peter Blatty",NA
6/27/1997,Face/Off,"$80,000,000","$112,276,146","$241,200,000",7.3,"303,141",Action Crime Sci-Fi Thriller,http://www.imdb.com/title/tt0119094/,John Woo,"David Permut
Barrie M. Osborne
Terence Chang
Christopher Godsick","Mike Werb
Michael Colleary","John Travolta
Nicolas Cage
Joan Allen
Gina Gershon
Alessandro Nivola",John Powell,Oliver Wood,Christian Wagner,NA,"Paramount Pictures(United States)
Buena Vista International(International)","June 27, 1997 (1997-06-27)",138 minutes[1],United States,English,$80 million[2],$245.7 million[2],https://en.wikipedia.org/wiki/Face/Off,//upload.wikimedia.org/wikipedia/en/thumb/0/0c/FaceOff_%281997_film%29_poster.jpg/220px-FaceOff_%281997_film%29_poster.jpg,NA,NA,NA,"Paramount Pictures
Touchstone Pictures
Permut Presentations"
1/1/2000,Fantasia 2000 (IMAX),"$80,000,000","$60,507,228","$60,507,228",7.2,"29,807",Animation Comedy Family Fantasy Music,http://www.imdb.com/title/tt0120910/,"Don Hahn
Pixote Hunt
Hendel Butoy
Eric Goldberg
James Algar
Francis Glebas
Paul and Gaëtan Brizzi","Roy E. Disney
Donald W. Ernst",See Credits,"James Levine
Steve Martin
Itzhak Perlman
Quincy Jones
Bette Midler
James Earl Jones
Penn & Teller
Angela Lansbury",See Program,Tim Suhrstedt,"Jessica Ambinder-Rojas
Lois Freeman-Fox",Walt Disney PicturesWalt Disney Feature Animation,Buena Vista Pictures,"December 17, 1999 (1999-12-17) (Premiere)






January 1, 2000 (2000-01-01) (IMAX)






June 16, 2000 (2000-06-16) (General)",75 minutes,United States,English,$80–$85 million[1][2],$90.9 million[1],https://en.wikipedia.org/wiki/Fantasia_2000,//upload.wikimedia.org/wikipedia/en/thumb/c/c5/Fantasia2000_Poster.jpg/220px-Fantasia2000_Poster.jpg,NA,NA,NA,NA
6/16/2000,Fantasia 2000 (Theatrical Release),"$80,000,000","$9,103,630","$9,103,630",7.2,"29,807",Animation Comedy Family Fantasy Music,http://www.imdb.com/title/tt0120910/,"Don Hahn
Pixote Hunt
Hendel Butoy
Eric Goldberg
James Algar
Francis Glebas
Paul and Gaëtan Brizzi","Roy E. Disney
Donald W. Ernst",See Credits,"James Levine
Steve Martin
Itzhak Perlman
Quincy Jones
Bette Midler
James Earl Jones
Penn & Teller
Angela Lansbury",See Program,Tim Suhrstedt,"Jessica Ambinder-Rojas
Lois Freeman-Fox",Walt Disney PicturesWalt Disney Feature Animation,Buena Vista Pictures,"December 17, 1999 (1999-12-17) (Premiere)






January 1, 2000 (2000-01-01) (IMAX)






June 16, 2000 (2000-06-16) (General)",75 minutes,United States,English,$80–$85 million[1][2],$90.9 million[1],https://en.wikipedia.org/wiki/Fantasia_2000,//upload.wikimedia.org/wikipedia/en/thumb/c/c5/Fantasia2000_Poster.jpg/220px-Fantasia2000_Poster.jpg,NA,NA,NA,NA
11/18/2016,Fantastic Beasts and Where to Find Them,"$180,000,000","$234,037,575","$803,798,342",7.4,"274,939",Adventure Family Fantasy,http://www.imdb.com/title/tt3183660/,David Yates,"David Heyman
J. K. Rowling
Steve Kloves
Lionel Wigram",NA,"Eddie Redmayne
Katherine Waterston
Dan Fogler
Alison Sudol
Ezra Miller
Samantha Morton
Jon Voight
Carmen Ejogo
Ron Perlman
Colin Farrell",James Newton Howard,Philippe Rousselot,Mark Day,Heyday Films,Warner Bros. Pictures,"10 November 2016 (2016-11-10) (Alice Tully Hall)
18 November 2016 (2016-11-18) (United Kingdom & United States)",133 minutes[1],"United Kingdom
United States[2][3]",English,$180 million[4],$814 million[5],https://en.wikipedia.org/wiki/Fantastic_Beasts_and_Where_to_Find_Them_(film),//upload.wikimedia.org/wikipedia/en/thumb/5/5e/Fantastic_Beasts_and_Where_to_Find_Them_poster.png/220px-Fantastic_Beasts_and_Where_to_Find_Them_poster.png,J. K. Rowling,NA,"Fantastic Beasts and Where to Find Them
by J. K. Rowling",NA
7/8/2005,Fantastic Four,"$87,500,000","$154,696,080","$333,132,750",5.7,"281,025",Action Adventure Family Fantasy Sci-Fi,http://www.imdb.com/title/tt0120667/,Tim Story,"Avi Arad
Bernd Eichinger
Ralph Winter","Michael France
Mark Frost","Ioan Gruffudd
Jessica Alba
Chris Evans
Michael Chiklis
Julian McMahon
Kerry Washington",John Ottman,Oliver Wood,William Hoy,"Constantin Film
Marvel Enterprises
1492 Pictures[1]",20th Century Fox[2],"July 8, 2005 (2005-07-08)",106 minutes[3],"United States
Germany",English,$100 million[4],$330.6 million[4],https://en.wikipedia.org/wiki/Fantastic_Four_%282005_film%29,//upload.wikimedia.org/wikipedia/en/thumb/4/4a/Fantastic_Four_poster.jpg/220px-Fantastic_Four_poster.jpg,NA,NA,"Fantastic Four
by Jack Kirby
& Stan Lee",NA
8/7/2015,Fantastic Four,"$120,000,000","$56,117,548","$167,977,596",4.3,"126,629",Action Adventure Sci-Fi,http://www.imdb.com/title/tt1502712/,Josh Trank,"Gregory Goodman
Simon Kinberg
Robert Kulzer
Hutch Parker
Matthew Vaughn",NA,"Miles Teller
Michael B. Jordan
Kate Mara
Jamie Bell
Toby Kebbell","Marco Beltrami
Philip Glass",Matthew Jensen,"Elliot Greenberg
Stephen E. Rivkin",NA,20th Century Fox,"August 4, 2015 (2015-08-04) (New York City)
August 7, 2015 (2015-08-07) (United States)",100 minutes[1],United States,English,$155 million[2],$168 million[3],https://en.wikipedia.org/wiki/Fantastic_Four_%282015_film%29,//upload.wikimedia.org/wikipedia/en/thumb/f/f4/Fantastic_Four_2015_poster.jpg/220px-Fantastic_Four_2015_poster.jpg,"Jeremy Slater
Simon Kinberg
Josh Trank",NA,"Fantastic Four
by Stan Lee
and Jack Kirby","20th Century Fox
Marvel Entertainment
Constantin Film
Kinberg Genre
Marv Films
Robert Kulzer Productions
TSG Entertainment"
6/15/2007,Fantastic Four: Rise of the Silver Surfer,"$120,000,000","$131,921,738","$289,480,691",5.6,"224,448",Action Adventure Fantasy Sci-Fi Thriller,http://www.imdb.com/title/tt0486576/,Tim Story,"Avi Arad
Bernd Eichinger
Ralph Winter",NA,"Ioan Gruffudd
Jessica Alba
Chris Evans
Michael Chiklis
Julian McMahon
Kerry Washington
Andre Braugher
Doug Jones
Laurence Fishburne
Beau Garrett",John Ottman,Larry Blanford,"William Hoy
Peter S. Elliot","Marvel Entertainment
Constantin Film
1492 Pictures
Dune Entertainment",20th Century Fox,"June 12, 2007 (2007-06-12) (London Premiere)
June 15, 2007 (2007-06-15) (United Kingdom)
June 15, 2007 (2007-06-15) (North America)
August 16, 2007 (2007-08-16) (Germany)",92 minutes,"United States
United Kingdom[1]
Germany[1]",English,$130 million[2],$289 million[2],https://en.wikipedia.org/wiki/Fantastic_Four:_Rise_of_the_Silver_Surfer,//upload.wikimedia.org/wikipedia/en/thumb/e/e6/Fantastic_Four_2_Poster.jpg/220px-Fantastic_Four_2_Poster.jpg,"Don Payne
Mark Frost","John Turman
Mark Frost","Fantastic Four
by Stan Lee
Jack Kirby",NA
4/3/2009,Fast & Furious,"$85,000,000","$155,064,265","$363,064,265",6.6,"224,132",Action Crime Thriller,http://www.imdb.com/title/tt1013752/,Justin Lin,"Neal H. Moritz
Vin Diesel
Michael Fottrell",Chris Morgan,"Vin Diesel
Paul Walker
Michelle Rodriguez
Jordana Brewster
Gal Gadot
Don Omar
Tego Calderon
John Ortiz
Laz Alonso",Brian Tyler,Amir Mokri,"Christian Wagner
Fred Raskin",NA,Universal Pictures,"March 12, 2009 (2009-03-12) (Universal CityWalk)
April 3, 2009 (2009-04-03) (United States)",107 minutes[1],United States,English,$85 million[2],$363.2 million[2],https://en.wikipedia.org/wiki/Fast_%26_Furious_(2009_film),//upload.wikimedia.org/wikipedia/en/thumb/8/8f/Fast_and_Furious_Poster.jpg/220px-Fast_and_Furious_Poster.jpg,NA,NA,"Characters
by Gary Scott Thompson","Original Film
Relativity Media
One Race Films"
5/24/2013,Fast and Furious 6,"$160,000,000","$238,679,850","$789,300,444",7.1,"326,135",Action Crime Thriller,http://www.imdb.com/title/tt1905041/,Justin Lin,"Neal H. Moritz
Vin Diesel
Clayton Townsend",Chris Morgan,"Vin Diesel
Paul Walker
Dwayne Johnson
Michelle Rodriguez
Jordana Brewster
Tyrese Gibson
Chris ""Ludacris"" Bridges
Sung Kang
Luke Evans
Gina Carano
Gal Gadot
John Ortiz",Lucas Vidal,Stephen F. Windon,"Christian Wagner
Kelly Matsumoto
Dylan Highsmith",NA,Universal Pictures,"May 7, 2013 (2013-05-07) (Empire, Leicester Square)
May 24, 2013 (2013-05-24) (United States)",130 minutes[1],United States,English,$160 million[2],$788.7 million[2],https://en.wikipedia.org/wiki/Fast_Six_(2013_film),//upload.wikimedia.org/wikipedia/en/thumb/f/fd/FastandFurious6-teaserposter.jpg/220px-FastandFurious6-teaserposter.jpg,NA,NA,"Characters
by Gary Scott Thompson","Relativity Media
Original Film
One Race Films"
4/29/2011,Fast Five,"$125,000,000","$209,837,675","$629,969,804",7.3,"308,531",Action Crime Thriller,http://www.imdb.com/title/tt1596343/,Justin Lin,"Neal H. Moritz
Vin Diesel
Michael Fottrell",Chris Morgan,"Vin Diesel
Paul Walker
Jordana Brewster
Tyrese Gibson
Chris Bridges
Matt Schulze
Sung Kang
Dwayne Johnson",Brian Tyler,Stephen F. Windon,"Christian Wagner
Kelly Matsumoto
Fred Raskin",NA,Universal Pictures,"April 15, 2011 (2011-04-15) (Rio de Janeiro)
April 29, 2011 (2011-04-29) (United States)",130 minutes[1],United States,English,$125 million[2],$626.1 million[3],https://en.wikipedia.org/wiki/Fast_Five,//upload.wikimedia.org/wikipedia/en/thumb/0/0c/Fast_Five_poster.jpg/220px-Fast_Five_poster.jpg,NA,NA,"Characters
by Gary Scott Thompson","Original Film
One Race Films"
5/9/1997,Father's Day,"$85,000,000","$28,681,080","$35,681,080",5.1,"12,913",Comedy Romance,http://www.imdb.com/title/tt0119109/,Ivan Reitman,Ivan ReitmanJoel Silver,NA,"Robin Williams
Billy Crystal
Julia Louis-Dreyfus
Nastassja Kinski",James Newton Howard,Stephen H. Burum,Wendy Greene BricmontSheldon Kahn,Silver PicturesNorthern Lights Entertainment,Warner Bros.,"May 9, 1997 (1997-05-09)",98 minutes,United States,English,$85 million,"$35,659,604[1]",https://en.wikipedia.org/wiki/Fathers%27_Day_(1997_film),//upload.wikimedia.org/wikipedia/en/thumb/0/0c/Fathers_day_poster.jpg/220px-Fathers_day_poster.jpg,Lowell GanzBabaloo Mandel,NA,"Les Compères
by Francis Veber",NA
7/11/2001,Final Fantasy: The Spirits Within,"$137,000,000","$32,131,830","$85,131,830",6.4,"75,599",Animation Action Adventure Fantasy Romance Sci-Fi,http://www.imdb.com/title/tt0173840/,"Hironobu Sakaguchi
Motonori Sakakibara (co-director)","Chris Lee
Akio Sakai",NA,"Ming-Na
Alec Baldwin
James Woods
Donald Sutherland
Ving Rhames
Steve Buscemi
Peri Gilpin",Elliot Goldenthal,NA,Chris S. Capp,Square Pictures[1],Columbia Pictures,"July 2, 2001 (2001-07-02) (premiere)
July 11, 2001 (2001-07-11) (United States)",106 minutes[2],United States[1],English,$137 million[3][4],$85.1 million[3],https://en.wikipedia.org/wiki/Final_Fantasy:_The_Spirits_Within,//upload.wikimedia.org/wikipedia/en/thumb/3/34/Final_Fantasy_The_Spirits_Within_%282011_film%29_poster.jpg/220px-Final_Fantasy_The_Spirits_Within_%282011_film%29_poster.jpg,"Al Reinert
Jeff Vintar",Hironobu Sakaguchi,"Final Fantasy
by Hironobu Sakaguchi",NA
6/17/2016,Finding Dory,"$200,000,000","$486,295,561","$1,022,617,376",7.4,"175,557",Animation Adventure Comedy Family,http://www.imdb.com/title/tt2277860/,Andrew Stanton,Lindsey Collins[1],NA,"Ellen DeGeneres
Albert Brooks
Hayden Rolence
Ed O'Neill
Kaitlin Olson
Ty Burrell
Diane Keaton
Eugene Levy",Thomas Newman,"Jeremy Lasky
Ian Megibben",Axel Geddes,"Walt Disney Pictures
Pixar Animation Studios","Walt Disney Studios
Motion Pictures","June 8, 2016 (2016-06-08) (El Capitan Theatre)
June 17, 2016 (2016-06-17) (United States)",97 minutes[2],United States,English,$200 million[3],$1.029 billion[4],https://en.wikipedia.org/wiki/Finding_Dory,//upload.wikimedia.org/wikipedia/en/thumb/3/3e/Finding_Dory.jpg/220px-Finding_Dory.jpg,"Andrew Stanton
Victoria Strouse",Andrew Stanton,NA,NA
5/30/2003,Finding Nemo,"$94,000,000","$380,529,370","$936,429,370",8.1,"776,348",Animation Adventure Comedy Family,http://www.imdb.com/title/tt0266543/,Andrew Stanton,Graham Walters,NA,"Albert Brooks
Ellen DeGeneres
Alexander Gould
Willem Dafoe",Thomas Newman,"Sharon Calahan
Jeremy Lasky",David Ian Salter,"Walt Disney Pictures
Pixar Animation Studios",Buena Vista Pictures,"May 30, 2003 (2003-05-30)",100 minutes,United States,English,$94 million[1],$940.3 million[1],https://en.wikipedia.org/wiki/Finding_Nemo,//upload.wikimedia.org/wikipedia/en/thumb/2/29/Finding_Nemo.jpg/220px-Finding_Nemo.jpg,"Andrew Stanton
Bob Peterson
David Reynolds",Andrew Stanton,NA,NA
11/26/1997,Flubber,"$80,000,000","$92,993,801","$177,993,801",5.2,"70,281",Comedy Family Sci-Fi,http://www.imdb.com/title/tt0119137/,Les Mayfield,"John Hughes[1]
Ricardo Mestres[1]",NA,"Robin Williams
Marcia Gay Harden
Christopher McDonald
Raymond J. Barry
Clancy Brown
Ted Levine",Danny Elfman,Dean Cundey,"Harvey Rosenstock
Michael A. Stevenson",Walt Disney Pictures[1],Buena Vista Pictures[1],"November 16, 1997 (1997-11-16) (New York City)
November 26, 1997 (1997-11-26) (United States)",93 minutes,United States[1],English,$80 million[2],$178 million[3],https://en.wikipedia.org/wiki/Flubber_(film),//upload.wikimedia.org/wikipedia/en/thumb/8/82/Flubber.jpg/220px-Flubber.jpg,"John Hughes
Bill Walsh",NA,"""A Situation of Gravity""
by Samuel W. Taylor",NA
